;skew;kurtosis;sigma_theta_mean;sigma_theta_median;sigma_theta_low5;sigma_theta_high95;beta_mean;beta_median;beta_low5;beta_high95;sector;Retail %
XOM;0.04044938714918684;8.181.193.720.788.610;20.471.296;20.510.154;0.5392117500305176;35.595.409.035.682.600;0.6067397;0.60325766;0.46623572558164594;0.7631146371364593;Energy;
FFIV;-0.41958544792910785;77.222.829.594.295.000;20.559.826;20.612.445;0.5390855222940445;3.563.166.141.510.000;0.5773333;0.57511127;0.42192760556936265;0.7430816978216171;Information Technology;
FDS;0.2010241233389927;13.760.430.510.515.600;20.763.495;20.757.353;0.5715597450733185;35.743.894.457.817.000;0.74595886;0.74535286;0.6424130856990814;0.8495238482952118;Financials;
FICO;12.793.497.263.094.200;2.755.043.866.403.240;2.096.731;20.976.982;0.5719328850507737;35.837.521.433.830.200;0.8270677;0.83131695;0.7535431027412415;0.8881254464387893;Information Technology;
FAST;0.6634454093874737;13.299.901.317.607.500;20.615.249;20.647.311;0.535755079984665;3.576.706.159.114.830;0.736972;0.7367897;0.6252607494592667;0.8520250797271728;Industrials;
FRT;14.125.858.833.334.600;49.801.595.837.877.000;20.811.493;20.819.237;0.5939025700092316;3.581.974.840.164.180;0.85220784;0.8540977;0.8053551375865936;0.8920872151851654;Real Estate;
FDX;-0.7244444186948653;14.919.872.150.961.900;20.526.721;204.432;0.5513561785221099;35.687.047.123.908.900;0.7521164;0.7533213;0.6438010185956955;0.8566569715738296;Industrials;
FIS;-18.281.394.629.299.500;31.214.537.309.972.500;20.886.467;2.088.538;0.5972382128238678;35.983.273.983.001.700;0.8244586;0.8286694;0.7465335875749588;0.8876995027065278;Financials;
FITB;-0.08633436625961506;13.907.512.805.242.500;20.691.488;20.660.367;0.5537672281265259;3.592.122.232.913.970;0.7479058;0.74762994;0.6460754096508026;0.8515715807676315;Financials;
FSLR;0.6005520511544552;8.977.233.349.073.970;20.644.329;20.682.154;0.554924926161766;35.870.956.540.107.700;0.6316475;0.62952137;0.4868542835116386;0.7846335321664809;Information Technology;
FE;-1.487.862.270.510.110;3.463.885.280.162.760;20.744.832;20.735.755;0.5779733300209046;35.849.010.109.901.400;0.8328925;0.8373107;0.7616537600755692;0.8891572535037994;Utilities;
FI;-0.35438573040870053;12.572.902.902.923.900;2.065.932;2.062.737;0.5478210628032685;3.581.665.563.583.370;0.72412723;0.7234129;0.6135796904563904;0.837313574552536;Financials;
FMC;-0.33065389652871746;1.335.701.837.874.750;2.055.766;20.548.477;0.5305085062980652;35.606.262.803.077.600;0.73797774;0.7380669;0.6319515705108643;0.8473051995038986;Materials;
F;0.436102895297593;10.010.214.578.923.600;2.068.717;2.075.431;0.5613275289535523;3.579.668.092.727.660;0.67140335;0.6696539;0.5429972261190414;0.8091897249221802;Consumer Discretionary;
FTNT;-0.5900744037906244;14.807.721.839.677.300;20.682.533;20.581.036;0.5574349373579025;3.585.060.155.391.690;0.7515584;0.7525809;0.6460378408432007;0.8550003856420517;Information Technology;
FTV;0.02373659299253903;16.052.274.672.386.000;2.075.021;20.641.298;0.5646784633398056;3.596.885.454.654.690;0.7710503;0.7724596;0.6740844160318374;0.8628038257360457;Industrials;
FOXA;0.03254526652978187;69.190.401.559.776.300;2.044.791;20.434.473;0.5322258949279786;3.573.723.793.029.780;0.53165996;0.5270328;0.36782566606998446;0.7126502215862273;Communication Services;
FOX;0.032550268341912277;7.162.815.578.033.390;2.031.673;2.021.163;0.5232204586267472;3.573.131.728.172.300;0.55048805;0.545475;0.3927104502916336;0.7247536540031431;Communication Services;
BEN;0.04444128811191648;7.718.538.256.870.750;20.621.085;20.603.852;0.5366447329521179;35.746.507.644.653.300;0.58260393;0.577912;0.4356849849224091;0.747539639472961;Financials;
FCX;0.24762275794817631;9.995.211.237.698.160;20.630.786;20.539.985;0.5722826957702637;35.865.876.793.861.300;0.67191356;0.66849506;0.5475012362003326;0.8068148285150528;Materials;
GRMN;0.7298494366751591;14.881.287.712.681.600;20.526.588;20.487.955;0.5582946687936783;35.438.832.402.229.300;0.75955087;0.76114297;0.6509517014026642;0.8629600405693054;Consumer Discretionary;
IT;0.18827261576654747;16.680.666.290.126.400;20.611.901;20.675.051;0.5705388098955154;35.659.535.169.601.400;0.7785464;0.780459;0.6832809984683991;0.8688389778137207;Information Technology;
GE;0.13179759763298832;7.461.696.375.086.670;20.668.044;20.707.543;0.536449059844017;35.880.425.930.023.100;0.5672801;0.5630455;0.41328837871551516;0.7345706462860107;Industrials;
GEHC;-0.2279721304700314;13.231.318.642.288.500;20.631.852;2.061.732;0.5738375544548034;35.793.972.611.427.300;0.73690224;0.73687625;0.6306892335414886;0.8437520831823349;Health Care;
GEV;0.0026535784128593606;31.499.475.301.364.800;1.655.271;13.697.822;0.31820047944784163;3.535.553.359.985.350;0.14758998;0.13345595;0.10278831645846367;0.24453146085143082;Industrials;
GEN;-17.637.175.252.206.400;381.414.351.234.562;20.883.925;20.919.833;0.5865183264017105;3.592.085.230.350.490;0.83649343;0.8402022;0.7700522750616073;0.8894781291484832;Information Technology;
GNRC;-0.4998077953529647;10.257.983.196.156.200;2.056.168;20.512.743;0.5756522327661514;35.779.836.654.663.000;0.67330587;0.6716823;0.5457542955875396;0.8061638236045837;Industrials;
GD;-0.26498761355378553;9.090.996.991.248.010;20.596.414;20.546.768;0.5428481280803681;35.851.598.143.577.500;0.6392026;0.6363772;0.508090204000473;0.7818567872047424;Industrials;
GIS;-0.4004072287119397;11.430.969.396.163.700;20.525.448;2.050.468;0.5417886257171631;35.367.592.215.538.000;0.7012083;0.70099974;0.584672150015831;0.8223133832216262;Consumer Staples;
GM;0.19250525009092725;9.467.211.134.973.070;20.739.977;20.692.225;0.5242305725812912;3.589.780.139.923.090;0.6568991;0.6537817;0.5280292570590973;0.7956963837146758;Consumer Discretionary;
GPC;0.40479439507756404;241.097.209.730.155;20.748.913;2.076.463;0.5847106873989105;35.639.611.721.038.800;0.8192093;0.82242024;0.741682106256485;0.885220181941986;Consumer Discretionary;
GILD;0.393386068422659;9.693.478.963.018.760;20.565.996;20.462.537;0.5360375791788101;35.866.406.559.944.100;0.6630169;0.66043055;0.5327059894800186;0.806204131245613;Health Care;
GPN;0.10058442064633948;15.675.384.620.464;2.062.864;20.586.226;0.5648122727870941;358.839.372.396.469;0.76869744;0.76989746;0.6712169080972672;0.8619813650846482;Financials;
GS;0.1956512363735088;1.295.515.853.914.760;20.620.925;20.675.712;0.5457040876150132;35.766.465.783.119.200;0.7348066;0.73460805;0.6262400209903717;0.8439439386129377;Financials;
HAL;-0.7630727370260235;21.307.822.386.545.400;2.068.939;20.697.064;0.5614492654800416;3.575.359.559.059.140;0.8001867;0.8039795;0.708893460035324;0.878966823220253;Energy;
HIG;0.765756906752374;41.016.113.531.535.700;209.124;20.866.256;0.5700630933046341;3.599.259.638.786.310;0.84730536;0.8502525;0.7930128157138825;0.8915108054876327;Financials;
HAS;0.27872195111218406;1.889.674.238.424.830;20.732.954;20.760.698;0.5839723259210587;35.917.042.136.192.300;0.79432464;0.79622626;0.7071451157331466;0.8754142791032791;Consumer Discretionary;
HCA;-0.02047869252058216;2.188.248.939.677.750;20.644.064;20.502.758;0.5604780703783036;35.665.390.133.857.700;0.8097803;0.8135923;0.7272786945104599;0.8815851747989655;Health Care;
DOC;-0.6304529323159421;199.901.585.832.492;20.907.722;20.901.723;0.5981737434864044;3.583.943.128.585.810;0.79446167;0.7968775;0.7009533077478409;0.8786438375711441;Real Estate;
HSIC;-0.06682503799751426;72.676.097.640.052.800;20.488.663;20.488.098;0.505568552017212;35.861.304.283.142.000;0.55615956;0.54983044;0.39815826416015626;0.731725239753723;Health Care;
HSY;-10.389.932.950.164.000;22.475.343.010.907.700;20.835.059;2.098.549;0.5574688762426376;3.573.295.128.345.480;0.802671;0.8066737;0.7085832446813584;0.8818278402090073;Consumer Staples;
HES;-0.32636072368918706;17.170.867.774.353.100;20.759.504;20.708.895;0.5761195868253708;3.575.401.628.017.420;0.7777922;0.77907;0.6830773562192917;0.8679387360811234;Energy;
HPE;-0.23448318143557048;9.105.224.457.746.130;20.503.163;20.569.491;0.5016747117042542;3.585.751.104.354.850;0.64169055;0.6390383;0.5092474609613419;0.7861492276191712;Information Technology;
HLT;0.10629634633534031;8.647.361.342.671.490;20.490.584;20.447.457;0.5335477828979492;3.574.970.245.361.320;0.62730217;0.62367123;0.4921640858054161;0.7773953676223754;Consumer Discretionary;
HOLX;-0.9211913615810204;17.229.795.821.682.500;20.753.918;2.073.681;0.5831173628568649;3.595.053.470.134.730;0.7712651;0.77376103;0.6680514723062515;0.8671004474163054;Health Care;
HD;-0.9522395726151388;20.428.381.719.287.900;20.679.348;206.252;0.5698152720928192;3.566.228.532.791.130;0.7932837;0.79629964;0.6982955753803253;0.8780100882053374;Consumer Discretionary;
HON;0.1105855816387052;14.442.657.152.025.000;20.632.005;20.515.428;0.5257766962051392;3.576.702.618.598.930;0.7553388;0.7557335;0.6535694658756256;0.8555272936820983;Industrials;
HRL;0.6823699070365816;1.858.614.529.691.620;2.077.131;20.783.389;0.5497639685869218;35.850.663.423.538.200;0.79162437;0.7950871;0.6987558245658875;0.8753794729709625;Consumer Staples;
HST;1.398.313.217.388.310;2.265.225.085.673.900;2.088.533;20.864.983;0.5698407530784607;3.573.946.273.326.870;0.80965203;0.8137388;0.7200480997562408;0.8837087541818618;Real Estate;
HWM;0.05820532902164566;182.435.560.277.838;2.085.089;20.927.415;0.5596390575170517;35.782.641.887.664.700;0.7888659;0.7909825;0.6978643000125885;0.871078673005104;Industrials;
HPQ;-0.45395768654953655;12.915.830.326.199.100;20.585.654;2.053.883;0.5651670455932618;3.577.452.731.132.500;0.7286481;0.72826976;0.6189774096012115;0.8398381173610687;Information Technology;
HUBB;-0.23895674209456302;10.965.646.023.846.800;20.422.027;20.301.473;0.53292975127697;3.576.382.887.363.430;0.6946336;0.69360757;0.5758602619171143;0.8193594664335251;Industrials;
HUM;-0.5351676758750311;18.011.650.504.828.200;2.086.922;2.090.374;0.5611607015132904;3.597.173.988.819.120;0.7815842;0.7839445;0.6855455547571182;0.8709019988775253;Health Care;
HBAN;0.04571619155082729;10.863.485.681.411.200;2.065.521;2.075.376;0.5489825874567031;35.585.591.197.013.800;0.6953281;0.6925231;0.578935956954956;0.819956961274147;Financials;
HII;-0.3813197890338237;862.977.924.811.652;20.403.318;20.376.868;0.5187003135681153;35.664.116.978.645.300;0.62151915;0.61899173;0.47947833836078646;0.7760946661233902;Industrials;
IBM;-0.4457630824212985;12.463.462.309.936.500;20.613.916;20.517.886;0.5520202219486237;35.831.712.722.778.300;0.7215784;0.72121024;0.6097711503505707;0.8346316486597061;Information Technology;
IEX;-0.35353090404544596;8.415.777.630.519.340;2.046.396;20.459.518;0.5375724494457245;3.579.493.999.481.200;0.61181766;0.6082337;0.4669919490814209;0.7694832533597945;Industrials;
IDXX;-0.005673639453315913;5.779.135.289.532.000;20.399.446;20.396.972;0.5135822653770447;3.549.557.852.745.050;0.41764185;0.40781224;0.23831843584775925;0.6319717347621917;Health Care;
ITW;0.27676722114498775;14.789.318.554.245.400;20.539.913;20.557.086;0.5537635445594787;35.601.795.911.788.900;0.76049143;0.7612759;0.6605612099170685;0.8611582577228546;Industrials;
ILMN;0.1356974499567644;7.906.367.797.327.570;2.048.705;20.452.242;0.5307451665401459;35.875.075.340.270.900;0.5920301;0.58752966;0.4437476545572281;0.7553241819143295;Health Care;
INCY;-0.7347132888861445;13.583.558.350.613.300;20.472.074;20.511.293;0.5408588141202927;35.530.052.661.895.700;0.7344415;0.73538566;0.6217898756265641;0.8460488140583038;Health Care;
IR;-0.015385728395876328;9.769.286.507.208.130;20.554.636;20.570.388;0.5543713510036469;3.580.324.506.759.640;0.6659505;0.6626836;0.5411062657833099;0.8042526721954345;Industrials;
PODD;0.7399486780743667;11.598.765.285.613.200;20.564.835;20.441.194;0.5501502543687821;35.707.977.294.921.800;0.7058836;0.7041372;0.5818621337413787;0.8320835262537002;Health Care;
INTC;-0.24181693640954474;11.467.282.975.219.500;20.636.575;20.587.387;0.5247095733880998;36.032.589.673.995.900;0.7055765;0.7037365;0.590848046541214;0.8282784968614578;Information Technology;
ICE;-0.5231542567552083;12.064.646.595.597.600;20.541.925;20.594.964;0.5268833845853806;35.815.384.745.597.800;0.7126906;0.7122327;0.5959869891405105;0.8320794880390167;Financials;
IFF;-11.081.257.514.071.100;1.871.803.973.284.210;20.793.827;20.753.875;0.5599988043308258;35.895.402.669.906.600;0.7812377;0.7839136;0.6791462510824203;0.8747677057981491;Materials;
IP;0.3658921096179026;10.666.154.274.391.000;20.523.884;20.426.087;0.5546535789966583;35.789.348.959.922.700;0.69078016;0.689362;0.5692678213119506;0.8198748648166656;Materials;
IPG;-0.02135039293370822;10.937.395.647.515.400;20.682.216;20.619.726;0.5486901730298996;35.869.056.463.241.500;0.69526917;0.6915702;0.5807680904865264;0.8209665179252623;Communication Services;
INTU;0.24144724259242017;9.722.240.615.141.370;20.590.572;20.615.976;0.5371814161539078;35.850.054.860.115.000;0.6641736;0.6610783;0.5334327906370163;0.8062764018774032;Information Technology;
ISRG;0.05242947773966176;968.101.551.517.915;2.050.622;20.544.689;0.5335192173719406;35.669.755.697.250.300;0.66330147;0.6602247;0.5384407997131347;0.8011811167001724;Health Care;
IVZ;-0.20182535205485527;11.551.218.192.424.700;20.591.002;20.566.401;0.5580539047718048;3.587.954.378.128.050;0.7081018;0.70691943;0.5961524933576584;0.8250006794929503;Financials;
INVH;-13.928.029.686.040.000;28.785.979.312.525.800;2.080.527;20.748.892;0.5703416585922241;3.595.026.981.830.590;0.821059;0.8255553;0.7408800184726715;0.8874997049570084;Real Estate;
IQV;0.11928158052268145;13.225.754.231.424.800;20.638.533;20.722.115;0.5549702495336533;35.414.989.471.435.500;0.7389682;0.73886895;0.6336834192276001;0.8460431069135665;Health Care;
IRM;-0.2280696190111087;1.084.468.674.633.650;20.580.845;2.054.897;0.5433342128992081;35.724.618.554.115.200;0.691472;0.6889999;0.5736873388290405;0.8189891636371611;Real Estate;
JBHT;-0.11784324325842704;9.207.722.243.093.400;20.563.788;2.051.619;0.5415010631084443;3.578.489.387.035.360;0.646394;0.6422961;0.5186257511377335;0.7865329653024672;Industrials;
JBL;-0.07459268368563836;11.799.426.534.051.000;2.059.233;2.067.348;0.5544686645269394;3.580.469.477.176.660;0.71433973;0.7136339;0.6051270931959152;0.8313824266195295;Information Technology;
JKHY;-0.7070064520323891;1.135.168.768.011.210;20.654.597;2.059.678;0.5540967762470246;35.910.470.604.896.500;0.69429916;0.6937252;0.5694226861000061;0.820090827345848;Financials;
J;-0.20545908818271202;9.090.399.849.495.100;20.562.663;20.530.171;0.5682819694280624;35.831.614.851.951.500;0.64066964;0.63777584;0.5104158908128739;0.7835942238569259;Industrials;
JNJ;-0.2533300908242639;12.257.578.160.266.800;20.540.018;20.446.482;0.5654727548360825;3.556.439.292.430.870;0.7206402;0.7197979;0.6115440875291824;0.8333019495010375;Health Care;
JCI;-0.6005668416941065;7.729.116.397.088.760;20.481.966;20.453.062;0.5402411878108978;35.865.879.774.093.600;0.57134455;0.5672413;0.4083620235323906;0.7424203723669052;Industrials;
JPM;0.3409131450056117;16.724.564.750.336.000;20.636.406;20.643.215;0.5692973226308823;3.562.118.828.296.660;0.77890855;0.78035563;0.6827972114086152;0.8697627872228623;Financials;
JNPR;0.9942108032463609;20.041.531.170.448.800;20.804.799;20.796.337;0.5755728334188461;3.554.822.361.469.260;0.7989992;0.80299604;0.7066742777824402;0.8788832008838653;Information Technology;
K;-0.31752108826102693;13.208.230.192.484.500;20.590.384;20.503.209;0.5589932292699814;35.495.751.976.966.800;0.7346814;0.7344048;0.6281693398952484;0.8436794996261596;Consumer Staples;
KVUE;-0.1467496471961511;6.290.290.112.285.750;20.390.005;2.028.555;0.5262035310268403;35.753.133.058.547.900;0.47468174;0.4687701;0.30056160539388654;0.6702510207891463;Consumer Staples;
KDP;2.771.453.449.213.960;56.333.183.140.633.800;20.836.067;20.787.244;0.5544638514518738;3.593.210.816.383.360;0.85379404;0.85633206;0.805911174416542;0.8929533004760742;Consumer Staples;
KEY;-0.4917553173150491;16.854.547.061.769.100;20.681.193;20.737.586;0.573155102133751;35.947.207.927.703.800;0.77435994;0.77592635;0.6773097395896912;0.86676786839962;Financials;
KEYS;0.04405661716959077;10.075.516.389.527.300;20.553.446;20.434.647;0.5629978060722352;35.792.767.167.091.300;0.6761647;0.6731976;0.5536644965410232;0.8106796503067016;Information Technology;
KMB;-0.05034178215372126;10.431.143.751.111.800;20.567.007;2.060.564;0.535636055469513;35.683.043.718.338.000;0.68567795;0.68336505;0.5671170175075531;0.8125304669141769;Consumer Staples;
KIM;10.787.486.022.994.600;27.823.904.698.689.300;20.750.165;2.079.915;0.5676693737506867;3.563.697.445.392.600;0.82831526;0.8322444;0.7554161131381989;0.8874794602394104;Real Estate;
KMI;-10.161.630.530.917.700;24.631.275.357.759.200;20.886.366;20.997.655;0.5661603391170502;35.705.565.214.157.000;0.81123185;0.8149476;0.7247078239917755;0.8837237447500229;Energy;
KLAC;0.28510432828872695;7.291.067.024.253.040;20.540.142;2.060.749;0.5265589147806168;35.859.730.958.938.500;0.55666447;0.55243635;0.40103738456964494;0.7284109473228455;Information Technology;
KHC;-15.045.704.572.562.000;4.513.634.556.948.470;20.705.972;20.534.093;0.5596654266119003;3.586.436.283.588.400;0.8480963;0.8517624;0.7920336544513702;0.8922769993543624;Consumer Staples;
KR;0.08234317582614338;986.891.244.576.946;20.494.785;20.501.072;0.5423325747251511;35.844.109.535.217.200;0.6712848;0.6692662;0.5460970014333725;0.8047425359487532;Consumer Staples;
LHX;0.2500915406975015;12.314.728.013.201.100;2.075.443;20.859.456;0.5714368373155594;358.035.078.048.706;0.72472817;0.7238276;0.6124250024557114;0.8389840006828307;Industrials;
LH;-0.796214212645271;1.941.949.061.888.910;20.612.955;2.055.305;0.5604418724775314;35.615.711.569.786.000;0.79030645;0.7925582;0.6950611203908921;0.8760911226272583;Health Care;
LRCX;0.17827841322858806;7.892.123.688.847.970;20.281.148;2.012.474;0.5241278350353241;35.607.985.377.311.700;0.59197015;0.58700514;0.4478225871920586;0.7546772092580795;Information Technology;
LW;-0.9318022935081732;18.931.615.844.484.600;20.764.575;207.507;0.5766604334115982;35.848.202.109.336.800;0.78538066;0.7894996;0.6860075891017914;0.8749275654554367;Consumer Staples;
LVS;0.15134333902902472;769.188.131.513.561;20.517.604;20.503.888;0.5640295773744584;35.668.824.434.280.300;0.58058673;0.57579017;0.43205986022949217;0.7448054820299148;Consumer Discretionary;
LDOS;-0.5146687331263121;14.501.221.269.677.600;20.671.563;2.051.801;0.5896947234869003;35.773.792.982.101.400;0.7494042;0.75010514;0.6442332029342651;0.8528438657522202;Industrials;
LEN;0.2531049605104712;12.300.864.288.637.500;2.068.859;20.691.352;0.5645365834236146;35.907.301.306.724.500;0.72412604;0.7240933;0.612854415178299;0.8382658779621123;Consumer Discretionary;
LIN;0.11600563876796173;882.998.725.276.839;20.683.835;2.075.172;0.5519274681806564;3.578.802.025.318.140;0.63305545;0.62979907;0.5024507910013198;0.7783556252717971;Materials;
LYV;0.18673302488614107;11.082.305.630.185.700;20.448.875;2.042.702;0.5392295032739639;35.659.839.391.708.300;0.7008732;0.69896376;0.5851277887821198;0.8225241899490356;Communication Services;
